"No","Player Name","School Name","Gm","Avg","E","Top 1","Top 5","Top 10","Top 25","Field Avg","Avg Diff"
"235","Jason Womack","Lindsey Wilson College","41","190.878","8","0","0","0","2","185.284","5.594"
"236","Alex Bumpus","Concordia University","48","190.833","13","0","0","0","0","186.454","4.379"
"237","Gage Blackford","Indiana Wesleyan University","43","190.767","11","0","2","2","3","180.198","10.57"
"238","Tyler Miller","Davenport University","50","190.62","13","0","0","0","0","184.441","6.179"
"239","Ayden Sulzener","Rock Valley College","45","190.467","11","0","0","0","1","179.42","11.047"
"240","Jake Thompson","Rochester University","47","190.191","12","0","0","0","1","188.024","2.168"
"241","Cayden Thoms","Quincy University","51","190.078","11","0","0","0","4","179.212","10.866"
"242","Deion Onezine","Louisiana-Lafayette ,University Of","50","190.04","10","0","0","0","2","182.901","7.139"
"243","Tyler Call","Hastings College","43","190.023","10","0","0","1","2","179.747","10.277"
"244","David Brock","Emmanuel University","43","189.907","9","0","0","1","3","181.157","8.75"
"245","Mason Bartholomy","Tiffin University","47","189.872","9","0","0","0","3","180.958","8.914"
"246","Jared Vrabel","Tiffin University","47","189.766","9","0","0","2","4","180.958","8.808"
"247","Malcolm Saltzman","Nebraska ,University Of","40","189.675","9","0","1","2","3","180.227","9.448"
"248","Connor Meegan","Quincy University","45","189.667","11","0","1","2","2","180.054","9.612"
"249","Ian Templin","Waldorf University","47","189.66","9","0","0","1","4","181.33","8.329"
"250","Aidan Longo","University of the Cumberlands","48","189.625","10","0","0","0","2","186.12","3.505"
"251","Seth Koloski","Kentucky Wesleyan","52","189.577","11","0","2","2","4","184.966","4.611"
"252","Josh King","Baker University","45","189.533","8","0","0","0","3","180.525","9.008"
"253","Guyshon Moore","Coe College","44","189.523","9","0","0","1","5","181.084","8.439"
"254","Reece Collins","Rio Grande ,University Of","48","189.521","9","0","0","0","5","182.38","7.141"
"255","Spencer Giffin","Ottawa University (KS)","52","189.365","11","0","0","1","1","179.688","9.677"
"256","Kendrick Wilson","Roosevelt University","48","189.333","9","0","0","0","2","184.92","4.413"
"257","Justin Powell","Rochester University","40","189.325","11","0","0","0","1","188.086","1.239"
"258","Conor Fetherston","William Penn University","51","189.275","10","0","0","0","0","181.866","7.408"
"259","Noah Ward","Waldorf University","42","189.238","8","0","1","1","5","180.537","8.701"
"260","Joseph Enderle","Ottawa University (KS)","42","189.143","10","0","1","1","1","179.104","10.039"
"261","Michael King","Bowling Green State University","49","188.918","12","0","0","0","4","184.358","4.561"
"262","Caden Ament","Arizona State University","43","188.884","11","0","0","1","4","181.287","7.597"
"263","Zach Dickerson","Midway University","45","188.867","13","0","0","0","0","185.969","2.898"
"264","Dustin Chinn","San Jose State University","40","188.725","11","0","0","1","1","181.594","7.131"
"265","Jeffrey Carter","Union College","41","188.61","10","0","1","1","2","185.396","3.214"
"266","Kyle Perillo","SUNY-Stony Brook","43","188.512","10","0","2","2","7","174.691","13.821"
"267","Cassidy Potter","Rochester Institute Of Technology","46","188.435","10","0","1","3","6","175.754","12.681"
"268","Johnathan Hemmingsen","Grand View University","48","188.25","9","0","0","0","4","180.474","7.776"
"269","Garrett Contee","St. Vincent College","44","188.205","10","0","0","1","4","180.153","8.051"
"270","Tyler Wentzel","Penn State Berks","48","188.146","10","0","2","2","6","175.46","12.685"
"271","Peyton Huskey","Lindsey Wilson College","40","187.9","8","0","1","1","2","185.246","2.654"
"272","John Clinton","Ohio State University","49","187.776","10","0","0","1","3","179.214","8.562"
"273","Dominic Montoya","Huntington University","42","187.667","11","0","0","0","3","183.077","4.59"
"274","Gabriel Johnson","Grand Valley State University","40","187.55","10","0","0","0","2","183.991","3.559"
"275","Jayson Tram","San Jose State University","44","186.977","8","0","0","2","4","182.396","4.581"
"276","Keanu Villanueva","San Jose State University","48","186.938","12","0","0","1","2","182.724","4.213"
"277","Mitchell Hays","Arizona State University","51","186.922","9","0","0","2","5","181.546","5.376"
"278","Tanner Eckerle","Baker University","57","186.86","10","0","0","1","2","180.729","6.13"
"279","Andrew Swift","Campbellsville University","42","186.762","8","0","0","1","2","186.743","0.019"
"280","Justin Perdue","Cleary University","44","186.477","11","0","0","0","1","185.66","0.817"
"281","ALEX BADGER","Morningside University","42","186.238","7","0","0","0","1","179.29","6.948"
"282","Charles Goguen","Union College","40","186.225","10","0","0","0","1","185.582","0.643"
"283","Jay Perez","San Jose State University","63","186.222","12","0","0","1","4","180.666","5.556"
"284","Joshua Quaas","Nebraska ,University Of","45","186.133","11","0","0","1","1","181.946","4.188"
"285","Calvin Schneider","Viterbo University","52","185.981","10","0","1","2","4","174.875","11.105"
"286","Brett Gamber","Baker University","57","185.333","10","0","0","0","2","180.71","4.623"
"287","Juan Rodriguez","Texas-San Antonio ,University Of","43","185.256","9","0","0","1","5","179.787","5.469"
"288","Carter Lambeth","Barton Community College","54","185.222","10","0","1","1","2","182.27","2.953"
"289","Daniel Fox","Toledo ,University Of","51","185.137","11","0","0","0","0","187.784","-2.646"
"290","Nicholas Prochnow","Grand View University","52","185.038","10","0","0","1","3","181.335","3.703"
"291","Rees Boulanger","Louisiana-Lafayette ,University Of","53","185","10","0","1","2","4","182.05","2.95"
"292","Devin Ramos","San Jose State University","55","184.891","12","0","0","0","5","181.334","3.557"
"293","Hunter Brackman","Notre Dame College","40","184.725","10","0","0","0","0","185.816","-1.091"
"294","Corey Goldsmith","Cleary University","41","184.537","12","0","0","0","1","185.097","-0.56"
"295","Harrison Neuharth","California Polytechnic State University","70","184.486","14","0","0","0","4","181.977","2.509"
"296","Kevin Brown","Missouri Baptist University","41","184.39","8","0","0","0","0","183.56","0.83"
"297","Zaylen Dear","University Of Saint Mary","48","184.375","9","0","0","0","4","178.869","5.506"
"298","Brayden Lee","Nebraska ,University Of","41","184.341","9","0","0","0","2","182.216","2.125"
"299","Mason Will","Culver-Stockton College","40","184.25","10","0","0","0","0","180.565","3.685"
"300","Gage Slagor","Indiana Wesleyan University","41","184.244","10","0","0","1","4","180.386","3.858"
"301","Drake Bazzy","William Woods University","46","184.217","10","0","0","0","0","184.244","-0.027"
"302","Nick Pierce","Mobile ,University Of","43","184.07","10","0","2","2","4","179.813","4.257"
"303","Austin Vickers","Kentucky Wesleyan","53","183.925","11","0","0","0","3","184.953","-1.029"
"304","Joseph Larison","Grace College","43","183.814","10","0","0","0","5","181.82","1.994"
"305","Brody Stanback","Avila University","45","183.756","9","0","0","0","2","179.978","3.778"
"306","Braden Maltz","Kansas State University","64","183.469","11","0","0","0","2","181.515","1.954"
"307","Patrick Schultz","William Woods University","52","183.462","10","0","0","0","0","183.367","0.095"
"308","William Higginbotham","Tiffin University","46","183.435","9","0","1","1","3","180.95","2.485"
"309","Dalton Karstens","Kentucky Wesleyan","49","183.429","11","0","0","0","1","185.272","-1.843"
"310","Parker Hoyt","Rochester Institute Of Technology","43","183.326","10","0","0","1","2","176.985","6.341"
"311","Aidan Tesdall","Avila University","48","183.188","9","0","0","0","2","180.466","2.722"
"312","Aaron Coleman","Texas A&M University","44","183.182","8","0","0","1","3","179.99","3.192"
"312","Levi Staley","Culver-Stockton College","44","183.182","10","0","1","1","2","179.972","3.209"
"314","Joshua Kacich","University Of Saint Mary","47","183.17","9","0","0","1","2","178.654","4.516"
"315","Nicholas Rodecap","Indiana University","48","183.083","9","0","0","0","2","178.068","5.015"
"316","Tyler Latunski","Davenport University","43","183.07","9","0","0","0","0","183.933","-0.863"
"317","Jonathan Levyash","San Jose State University","45","182.933","12","0","0","1","2","180.694","2.239"
"318","Cody Huinker","Iowa Central Community College","54","182.87","11","0","1","1","3","181.261","1.609"
"319","Daniel Gonzales","California State University-Fullerton","77","182.61","14","0","0","1","6","181.873","0.738"
"320","David Painter","Union College","43","182.372","10","0","0","0","0","185.235","-2.863"
"321","Canon King","Texas A&M University","44","182.364","8","0","1","1","2","179.441","2.922"
"322","Ken Rowland","Baker University","49","182.327","10","0","0","0","0","180.86","1.466"
"323","Andria Addis","Penn State Berks","47","182.298","10","0","0","1","4","175.645","6.653"
"324","Fisher Fuller","Mobile ,University Of","44","182.205","10","0","1","2","4","179.759","2.446"
"325","Parker Lauders","Shawnee State University","40","182.1","10","0","0","1","2","180.883","1.217"
"326","Cole Johnson","Central Methodist University","41","182.024","8","0","0","0","3","179.861","2.164"
"327","Lucas Segebart","Iowa Central Community College","47","181.83","11","0","0","0","4","180.811","1.019"
"328","Swade Helton","Kansas State University","57","181.807","13","0","0","1","1","182.915","-1.108"
"329","Clarissa Samano","California State University-Fresno","71","181.676","15","0","1","1","4","182.094","-0.418"
"330","Ryder Fleming","Hawkeye Community College","50","181.58","10","0","1","1","3","180.323","1.257"
"331","Aavinaash Rampersad","New Jersey Institute Of Technology","42","181.571","9","0","1","2","3","175.638","5.933"
